STIG ID,Enabled?,Manual?,Ansible VMware Module,PowerShell/PowerCLI/Shell
ESXI_70_000001,:heavy_check_mark:,:x:,:x:,:heavy_check_mark:
ESXI_70_000002,:heavy_check_mark:,:x:,:heavy_check_mark:,:x:
ESXI_70_000003,:heavy_check_mark:,:x:,:x:,:heavy_check_mark:
ESXI_70_000004,:heavy_check_mark:,:x:,:heavy_check_mark:,:x:
ESXI_70_000005,:heavy_check_mark:,:x:,:heavy_check_mark:,:x:
ESXI_70_000006,:heavy_check_mark:,:x:,:heavy_check_mark:,:x:
ESXI_70_000007,:heavy_check_mark:,:x:,:heavy_check_mark:,:x:
ESXI_70_000008,:heavy_check_mark:,:x:,:heavy_check_mark:,:x:
ESXI_70_000009,:heavy_check_mark:,:x:,:heavy_check_mark:,:x:
ESXI_70_000010,:heavy_check_mark:,:x:,:x:,:heavy_check_mark:
ESXI_70_000012,:heavy_check_mark:,:x:,:heavy_check_mark:,:x:
ESXI_70_000013,:heavy_check_mark:,:x:,:heavy_check_mark:,:x:
ESXI_70_000014,:heavy_check_mark:,:x:,:heavy_check_mark:,:x:
ESXI_70_000015,:heavy_check_mark:,:x:,:heavy_check_mark:,:x:
ESXI_70_000016,:heavy_check_mark:,:x:,:heavy_check_mark:,:x:
ESXI_70_000020,:heavy_check_mark:,:x:,:heavy_check_mark:,:x:
ESXI_70_000021,:heavy_check_mark:,:x:,:heavy_check_mark:,:x:
ESXI_70_000022,:heavy_check_mark:,:x:,:heavy_check_mark:,:x:
ESXI_70_000023,:heavy_check_mark:,:x:,:heavy_check_mark:,:x:
ESXI_70_000025,:heavy_check_mark:,:x:,:heavy_check_mark:,:x:
ESXI_70_000026,:heavy_check_mark:,:x:,:heavy_check_mark:,:x:
ESXI_70_000027,:heavy_check_mark:,:x:,:heavy_check_mark:,:x:
ESXI_70_000030,:heavy_check_mark:,:x:,:heavy_check_mark:,:x:
ESXI_70_000031,:heavy_check_mark:,:x:,:heavy_check_mark:,:x:
ESXI_70_000032,:heavy_check_mark:,:x:,:heavy_check_mark:,:x:
ESXI_70_000034,:heavy_check_mark:,:x:,:heavy_check_mark:,:x:
ESXI_70_000035,:heavy_check_mark:,:x:,:heavy_check_mark:,:x:
ESXI_70_000036,:heavy_check_mark:,:x:,:heavy_check_mark:,:x:
ESXI_70_000037,:heavy_check_mark:,:x:,:heavy_check_mark:,:x:
ESXI_70_000038,:x:,:heavy_check_mark:,:x:,:x:
ESXI_70_000039,:heavy_check_mark:,:x:,:heavy_check_mark:,:x:
ESXI_70_000041,:heavy_check_mark:,:x:,:heavy_check_mark:,:x:
ESXI_70_000042,:heavy_check_mark:,:x:,:heavy_check_mark:,:x:
ESXI_70_000043,:heavy_check_mark:,:x:,:heavy_check_mark:,:x:
ESXI_70_000045,:heavy_check_mark:,:x:,:heavy_check_mark:,:x:
ESXI_70_000046,:heavy_check_mark:,:x:,:heavy_check_mark:,:x:
ESXI_70_000047,:heavy_check_mark:,:x:,:heavy_check_mark:,:x:
ESXI_70_000048,:x:,:heavy_check_mark:,:x:,:x:
ESXI_70_000049,:x:,:heavy_check_mark:,:x:,:x:
ESXI_70_000050,:x:,:heavy_check_mark:,:x:,:x:
ESXI_70_000053,:heavy_check_mark:,:x:,:x:,:heavy_check_mark:
ESXI_70_000054,:heavy_check_mark:,:x:,:x:,:heavy_check_mark:
ESXI_70_000055,:heavy_check_mark:,:x:,:heavy_check_mark:,:x:
ESXI_70_000056,:heavy_check_mark:,:x:,:x:,:heavy_check_mark:
ESXI_70_000057,:heavy_check_mark:,:x:,:x:,:heavy_check_mark:
ESXI_70_000058,:heavy_check_mark:,:x:,:heavy_check_mark:,:x:
ESXI_70_000059,:heavy_check_mark:,:x:,:heavy_check_mark:,:x:
ESXI_70_000060,:heavy_check_mark:,:x:,:heavy_check_mark:,:x:
ESXI_70_000061,:heavy_check_mark:,:x:,:heavy_check_mark:,:x:
ESXI_70_000062,:heavy_check_mark:,:x:,:heavy_check_mark:,:x:
ESXI_70_000063,:x:,:heavy_check_mark:,:x:,:x:
ESXI_70_000064,:x:,:heavy_check_mark:,:x:,:x:
ESXI_70_000065,:x:,:heavy_check_mark:,:x:,:x:
ESXI_70_000070,:x:,:heavy_check_mark:,:x:,:x:
ESXI_70_000072,:x:,:heavy_check_mark:,:x:,:x:
ESXI_70_000074,:heavy_check_mark:,:x:,:heavy_check_mark:,:x:
ESXI_70_000076,:heavy_check_mark:,:x:,:x:,:heavy_check_mark:
ESXI_70_000078,:x:,:heavy_check_mark:,:x:,:x:
ESXI_70_000079,:heavy_check_mark:,:x:,:heavy_check_mark:,:x:
ESXI_70_000081,:heavy_check_mark:,:x:,:heavy_check_mark:,:x:
ESXI_70_000082,:heavy_check_mark:,:x:,:heavy_check_mark:,:x:
ESXI_70_000083,:heavy_check_mark:,:x:,:heavy_check_mark:,:x:
ESXI_70_000084,:heavy_check_mark:,:x:,:x:,:heavy_check_mark:
ESXI_70_000085,:heavy_check_mark:,:x:,:x:,:heavy_check_mark:
ESXI_70_000086,:heavy_check_mark:,:x:,:heavy_check_mark:,:x:
ESXI_70_000087,:heavy_check_mark:,:x:,:heavy_check_mark:,:x:
ESXI_70_000088,:heavy_check_mark:,:x:,:heavy_check_mark:,:x:
ESXI_70_000089,:heavy_check_mark:,:x:,:heavy_check_mark:,:x:
ESXI_70_000090,:heavy_check_mark:,:x:,:x:,:heavy_check_mark:
ESXI_70_000091,:heavy_check_mark:,:x:,:heavy_check_mark:,:x:
ESXI_70_000092,:heavy_check_mark:,:x:,:x:,:heavy_check_mark:
ESXI_70_000093,:heavy_check_mark:,:x:,:x:,:heavy_check_mark:
ESXI_70_000094,:heavy_check_mark:,:x:,:x:,:heavy_check_mark:
ESXI_70_000095,:heavy_check_mark:,:x:,:x:,:heavy_check_mark:
ESXI_70_000097,:heavy_check_mark:,:x:,:heavy_check_mark:,:x:
ESXI-70-000274,:heavy_check_mark:,:x:,:heavy_check_mark:,:x:
